Średnia wieku graczy wynosi: 54.1 lat

     Imię      : Ilość wystąpień 
Adam           :                5
Adela          :                1
Adrian         :                4
Adriana        :                1
Adrianna       :                2
Agata          :                3
Agnieszka      :                1
Aisha          :                2
Alan           :                4
Alana          :                3
Albert         :                1
Alek           :                5
Aleks          :                9
Aleksander     :                7
Aleksy         :                1
Alex           :                9
Alexander      :                6
Alfred         :                8
Alicja         :                1
Alina          :                3
Alisa          :                2
Allan          :                9
Alojzy         :                7
Amadeusz       :                9
Amanda         :                3
Amir           :               10
Anastazja      :                2
Anastazy       :                6
Anatol         :               12
Anatolia       :                1
Andrea         :                3
Andrzej        :                4
Andzelika      :                2
Aneta          :                2
Angelika       :                3
Aniela         :                3
Antoni         :                6
Antonina       :                1
Ariel          :                3
Arkadiusz      :                8
Artur          :                4
Asia           :                1
Aureliusz      :                2
Barbara        :                1
Bartlomiej     :               10
Bartosz        :                8
Beata          :                1
Berenika       :                2
Blanka         :                1
Blazej         :                4
Bogda          :                1
Bogna          :                1
Bogumil        :                4
Bogumila       :                2
Boguslawa      :                2
Boleslaw       :                5
Borys          :                8
Bronislaw      :                6
Bruno          :                8
Cecylia        :                2
Celina         :                1
Cezary         :                6
Cyprian        :                7
Czeslaw        :                3
Czeslawa       :                3
Dagmara        :                2
Damian         :                8
Daniel         :                8
Danuta         :                2
Daria          :                2
Dariusz        :                4
Dawid          :                6
Denis          :                9
Diana          :                1
Diego          :                6
Dobromil       :               13
Dominik        :                5
Dominika       :                3
Dorian         :                9
Dorota         :                2
Edward         :                5
Elena          :                1
Eleonora       :                4
Eliza          :                2
Elwira         :                2
Emanuel        :                9
Emil           :                7
Emilia         :                4
Ernest         :                7
Eryk           :                4
Eugeniusz      :               11
Eustachy       :                8
Ewa            :                2
Ewelina        :                1
Fabian         :                5
Faustyna       :                2
Felicja        :                2
Filip          :                7
Florencja      :                1
Florentyna     :                1
Florian        :                5
Franciszek     :                7
Fryderyk       :               11
Gabriel        :                5
Gabriela       :                1
Gniewomir      :                6
Gracjan        :               11
Grzegorz       :                4
Gustaw         :                2
Halina         :                2
Helena         :                2
Henryk         :                4
Heronim        :                8
Honorata       :                2
Hortensja      :                1
Hubert         :               14
Ida            :                1
Iga            :                2
Ignacy         :                9
Igor           :                8
Ilona          :                1
Ireneusz       :                5
Izabela        :                1
Jacek          :                4
Jadwiga        :                2
Jakub          :                4
Jan            :                4
Janusz         :                9
Jaroslaw       :                4
Jedrzej        :                8
Jerzy          :                7
Joachim        :                8
Jola           :                1
Jolanta        :                3
Jozef          :                9
Jozefa         :                1
Judyta         :                5
Julia          :                1
Julian         :                6
Julita         :                1
Juliusz        :               11
Kacper         :                7
Kaja           :                1
Kajetan        :                4
Kamil          :                7
Kamila         :                5
Karol          :                5
Karolina       :                1
Katarzyna      :                1
Kazimierz      :                4
Kewin          :                4
Kinga          :                2
Klara          :                3
Klaudia        :                2
Klaudiusz      :               10
Klementyna     :                1
Konrad         :                5
Konstancja     :                1
Konstanty      :                2
Kordian        :                9
Kornel         :                7
Kornelia       :                2
Korneliusz     :                9
Kryspin        :                5
Krystian       :                4
Krystyna       :                2
Krzysztof      :                4
Ksawery        :                6
Kuba           :                6
Leonardo       :                5
Leszek         :                1
Liliana        :                1
Lucja          :                3
Lucjan         :                7
Lucyna         :                2
Ludwik         :                5
Luiza          :                2
Lukasz         :                1
Maciej         :                9
Magda          :                2
Magdalena      :                2
Maja           :                1
Maksymilian    :               10
Malgorzata     :                1
Malwina        :                1
Marcel         :                2
Marcelina      :                3
Marcin         :                5
Marek          :                4
Maria          :                1
Marian         :                7
Mariusz        :                4
Marta          :                1
Martin         :                1
Martyna        :                2
Marzanna       :                1
Mateusz        :                7
Matylda        :                1
Maurycy        :               10
Michal         :                7
Mieszko        :                6
Mikolaj        :                8
Milan          :                8
Milena         :                1
Milosz         :                2
Miron          :                5
Miroslaw       :                4
Miroslawa      :                2
Natan          :               10
Natasza        :                1
Nina           :                1
Norbert        :               13
Oktawia        :                3
Oktawian       :                9
Ola            :                1
Olaf           :                2
Olga           :                1
Olgierd        :                7
Olimpia        :                2
Oliwia         :                3
Oskar          :                7
Otylia         :                1
Patrycja       :                1
Patryk         :               12
Paula          :                1
Paulina        :                1
Pawel          :                3
Piotr          :                7
Przemyslaw     :                8
Radoslaw       :                6
Rafal          :                5
Regina         :                3
Remigiusz      :                9
Robert         :                5
Roksana        :                3
Roman          :                4
Roza           :                1
Ryszard        :                6
Stanislawa     :                1
Stefania       :                2
Urszula        :                2
Wanda          :                1
Weronika       :                1
Wiktoria       :                1
Wioletta       :                1
Zofia          :                2
